key,label,page,section,basis,sources,note,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IE,IT,LV,LT,LU,MT,NL,PL,PT,RO,SK,SI,ES,SE
fitnessPlus,Apple Fitness+,ios,fitness-fitness-plus,country,B10;B11,,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,Y
appleOneAny,Apple One (any tier),manual,,country,B16,Apple media-services register,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y
appleOnePremier,Apple One top tier (Premier/Premium),manual,,country,B1;B3;B4;R5,From each apple.com/<cc>/apple-one page; ? = no plan page published,Y,N,?,?,?,N,N,?,N,Y,Y,?,N,Y,Y,?,?,N,?,N,N,Y,?,?,?,Y,N
appleOnePagePublished,Apple One plan page published on apple.com,manual,,country,B1;R5,,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,Y
newsPlus,Apple News+,ios,apple-news-plus,country,B8,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
appleTvSubscription,Apple TV subscription,manual,,country,B16,Media register lists all 27; the iOS table (apple-tv) omits HR and RO,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
buyTvShows,Buy TV shows in the Apple TV app,ios,itunes-store-tv-shows,country,B16,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
audiobooks,Buy audiobooks in Apple Books,watchos,apple-media-services-audiobooks,country,B16;S13,,Y,Y,N,N,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,Y
emergencySOS,Emergency SOS via satellite,watchos,communications-emergency-sos,country,S1,Matches the iPhone support list,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,N
findMySatellite,Find My via satellite (iPhone),manual,,country,S4;S1,iPhone guide points to the SOS list; the Watch page has its own shorter list,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,N
messagesSatellite,Messages via satellite,watchos,communications-messages,country,S2,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
roadsideSatellite,Roadside Assistance via satellite,manual,,country,S3,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
applePay,Apple Pay,ios,apple-wallet-apple-pay,country,S5,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
tapToPay,Tap to Pay on iPhone,manual,,country,S12,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
transitWallet,Transit cards in Wallet,watchos,apple-wallet-transit,city,S13;S16,,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
watchEcg,ECG app,watchos,health-ecg,country,S13,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
watchIrregularRhythm,Irregular rhythm notifications,watchos,health-atrial-fib,country,S13,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
