country,product,tier,localName,monthly,yearly,storageGB,services,currency,vatIncluded,url,accessed
AT,appleOne,individual,Einzelperson,19.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/at/apple-one/,2026-09-25
AT,appleOne,family,Familie,25.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/at/apple-one/,2026-09-25
AT,appleOne,premier,Premium,34.95,,2048,music;tv;arcade;icloud;fitness,EUR,,https://www.apple.com/at/apple-one/,2026-09-25
AT,fitnessPlus,standalone,,9.99,79.99,,,EUR,,https://www.apple.com/at/apple-fitness-plus/,2026-09-25
AT,iphone18Pro,from,,1449,,,,EUR,Y,https://www.apple.com/at/shop/buy-iphone/iphone-18-pro,2026-09-25
AT,iphoneDuo,from,,2319,,,,EUR,Y,https://www.apple.com/at/shop/buy-iphone/iphone-duo,2026-09-26
AT,macbookNeo,from,,799,,,,EUR,Y,https://www.apple.com/at/shop/buy-mac/macbook-neo,2026-09-26
AT,watchSeries12,from,,449,,,,EUR,Y,https://www.apple.com/at/shop/buy-watch/apple-watch,2026-09-26
BE,appleOne,individual,Individuel,19.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/befr/apple-one/,2026-09-25
BE,appleOne,family,Famille,25.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/befr/apple-one/,2026-09-25
BE,fitnessPlus,standalone,,9.99,79.99,,,EUR,,https://www.apple.com/befr/apple-fitness-plus/,2026-09-25
BE,iphone18Pro,from,,1479,,,,EUR,Y,https://www.apple.com/be-fr/shop/buy-iphone/iphone-18-pro,2026-09-25
BE,iphoneDuo,from,,2339,,,,EUR,Y,https://www.apple.com/be-fr/shop/buy-iphone/iphone-duo,2026-09-26
BE,macbookNeo,from,,799,,,,EUR,Y,https://www.apple.com/be-fr/shop/buy-mac/macbook-neo,2026-09-26
BE,watchSeries12,from,,449,,,,EUR,Y,https://www.apple.com/be-fr/shop/buy-watch/apple-watch,2026-09-26
CZ,appleOne,individual,Individuální tarif,339,,50,music;tv;arcade;icloud,CZK,,https://www.apple.com/cz/apple-one/,2026-09-25
CZ,appleOne,family,Rodinný tarif,449,,200,music;tv;arcade;icloud,CZK,,https://www.apple.com/cz/apple-one/,2026-09-25
CZ,iphone18Pro,from,,34990,,,,CZK,Y,https://www.apple.com/cz/shop/buy-iphone/iphone-18-pro,2026-09-25
CZ,iphoneDuo,from,,54990,,,,CZK,Y,https://www.apple.com/cz/shop/buy-iphone/iphone-duo,2026-09-26
CZ,macbookNeo,from,,19990,,,,CZK,Y,https://www.apple.com/cz/shop/buy-mac/macbook-neo,2026-09-26
CZ,watchSeries12,from,,10990,,,,CZK,Y,https://www.apple.com/cz/shop/buy-watch/apple-watch,2026-09-26
DK,appleOne,individual,Enkeltperson,179,,50,music;tv;arcade;icloud,DKK,,https://www.apple.com/dk/apple-one/,2026-09-25
DK,appleOne,family,Familie,239,,200,music;tv;arcade;icloud,DKK,,https://www.apple.com/dk/apple-one/,2026-09-25
DK,iphone18Pro,from,,10999,,,,DKK,Y,https://www.apple.com/dk/shop/buy-iphone/iphone-18-pro,2026-09-25
DK,iphoneDuo,from,,17999,,,,DKK,Y,https://www.apple.com/dk/shop/buy-iphone/iphone-duo,2026-09-26
DK,macbookNeo,from,,6499,,,,DKK,Y,https://www.apple.com/dk/shop/buy-mac/macbook-neo,2026-09-26
DK,watchSeries12,from,,3499,,,,DKK,Y,https://www.apple.com/dk/shop/buy-watch/apple-watch,2026-09-26
FI,appleOne,individual,Oma,20.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/fi/apple-one/,2026-09-25
FI,appleOne,family,Perhe,27.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/fi/apple-one/,2026-09-25
FI,fitnessPlus,standalone,,10.99,79.99,,,EUR,,https://www.apple.com/fi/apple-fitness-plus/,2026-09-25
FI,iphone18Pro,from,,1509,,,,EUR,Y,https://www.apple.com/fi/shop/buy-iphone/iphone-18-pro,2026-09-25
FI,iphoneDuo,from,,2419,,,,EUR,Y,https://www.apple.com/fi/shop/buy-iphone/iphone-duo,2026-09-26
FI,macbookNeo,from,,819,,,,EUR,Y,https://www.apple.com/fi/shop/buy-mac/macbook-neo,2026-09-26
FI,watchSeries12,from,,469,,,,EUR,Y,https://www.apple.com/fi/shop/buy-watch/apple-watch,2026-09-26
FR,appleOne,individual,Individuel,19.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/fr/apple-one/,2026-09-25
FR,appleOne,family,Famille,25.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/fr/apple-one/,2026-09-25
