id,pub,title,url,date,note
A1,Apple Support,How to get the next generation of Apple Intelligence,https://support.apple.com/en-us/121115,2026-09-14,
A2,Apple Support,How to get Siri AI,https://support.apple.com/en-us/127893,2026-09-22,
A3,Apple Newsroom,Siri AI is here,https://www.apple.com/newsroom/2026/09/siri-ai-a-profoundly-more-capable-and-personal-assistant-is-here/,2026-09-14,
A4,Apple,iOS and iPadOS 27 feature availability,https://www.apple.com/ios/feature-availability/,,
A5,Apple Support,Use Writing Tools on iPhone (European guide),https://support.apple.com/en-euro/guide/iphone/iph6f08da1d2/ios,,
A6,Apple Support,Translate texts in Messages on iPhone,https://support.apple.com/en-gb/guide/iphone/iphyrz4rgtgk/ios,,
A7,Apple Support,See translations during phone calls on iPhone,https://support.apple.com/en-gb/guide/iphone/ly3pl0v38sek/ios,,
A17,Apple Support,Use Live Captions and Live Translation in FaceTime on iPhone,https://support.apple.com/en-gb/guide/iphone/iphb41156356/ios,,
A8,Apple Support,Use Live Translation with your AirPods,https://support.apple.com/en-us/123185,2026-09-14,
A9,Apple Newsroom,Live Translation on AirPods expands to the EU,https://www.apple.com/ie/newsroom/2025/11/live-translation-on-airpods-expands-to-the-eu/,2025-11-04,
A10,Apple Support,Use Workout Buddy in Workout on Apple Watch,https://support.apple.com/en-au/guide/watch/apd65c7938e6/watchos,,
A11,Apple Support,Record and transcribe audio in Notes on iPhone,https://support.apple.com/en-euro/guide/iphone/iphbe11247b5/ios,,
A12,Apple Support,Change the language and region on iPhone,https://support.apple.com/guide/iphone/change-the-language-and-region-iphce20717a3/27/ios/27,,
A13,Apple Support,Change Siri settings on iPhone,https://support.apple.com/guide/iphone/change-siri-settings-iphc28624b81abc/27/ios/27,,
A14,Apple Newsroom,Apple Intelligence features expand to new languages and regions today,https://www.apple.com/newsroom/2025/03/apple-intelligence-features-expand-to-new-languages-and-regions-today/,2025-03-31,
A15,Apple Newsroom,Apple Intelligence features are now available in India,https://www.apple.com/in/newsroom/2025/03/apple-intelligence-features-are-now-available-in-india/,2025-03-31,
A16,Apple,AirPods Pro 3 (Ireland),https://www.apple.com/ie/airpods-pro/,,
B1,Apple,Apple One (US),https://www.apple.com/apple-one/,,
B2,Apple,Apple One (Denmark),https://www.apple.com/dk/apple-one/,,
B3,Apple,Apple One (Germany),https://www.apple.com/de/apple-one/,,
B4,Apple,Apple One (France),https://www.apple.com/fr/apple-one/,,
B5,Apple,Apple One (Netherlands),https://www.apple.com/nl/apple-one/,,
B6,Apple,Apple One (Sweden),https://www.apple.com/se/apple-one/,,
B7,Apple Support,iCloud+ plans and pricing,https://support.apple.com/en-us/108047,2026-09-16,
B8,Apple Support,Subscribe to Apple News+,https://support.apple.com/en-us/102209,2025-10-23,
B9,Apple,Apple News+ (US),https://www.apple.com/apple-news/,,
B10,Apple,Apple Fitness+,https://www.apple.com/apple-fitness-plus/,,
B11,Apple Newsroom,Apple Fitness+ expands to 28 new markets,https://www.apple.com/newsroom/2025/12/apple-fitness-plus-expands-to-28-new-markets/,2025-12-08,
B12,Apple Newsroom,Formula 1 begins this weekend exclusively on Apple TV in the US,https://www.apple.com/newsroom/2026/03/formula-1-begins-this-weekend-exclusively-on-apple-tv-in-the-us/,2026-03-05,
B13,Apple Newsroom (Denmark),Major League Soccer is coming to Apple TV starting in 2026,https://www.apple.com/dk/newsroom/2025/11/major-league-soccer-is-coming-to-apple-tv-starting-in-2026/,2025-11-13,
B14,Apple TV,MLS on Apple TV (Denmark),https://tv.apple.com/dk/channel/mls/tvs.sbd.7000?l=da,,
B15,Apple Newsroom,Friday Night Baseball returns to Apple TV on March 27 for its fifth season,https://www.apple.com/newsroom/2026/03/friday-night-baseball-returns-to-apple-tv-on-march-27-for-its-fifth-season/,2026-03-11,
B16,Apple Support,Availability of Apple Media Services,https://support.apple.com/en-us/118205,2026-09-15,
B17,Apple Legal,"Apple Media Services terms (Denmark), section A",https://www.apple.com/legal/internet-services/itunes/dk/terms.html,2026-09-14,
B18,Apple,Apple Creator Studio,https://www.apple.com/apple-creator-studio/,,
B19,Apple Newsroom (Denmark),Introducing Apple Creator Studio,https://www.apple.com/dk/newsroom/2026/01/introducing-apple-creator-studio-an-inspiring-collection-of-creative-apps/,2026-01-13,
B20,Apple Support,About Apple Creator Studio,https://support.apple.com/en-us/125029,2026-06-30,
B21,Apple Support,What happens to iCloud storage with Apple One,https://support.apple.com/en-us/108104,2026-01-14,
S1,Apple Support,Emergency SOS via satellite,https://support.apple.com/en-us/101573,2026-07-22,
S2,Apple Support,Messages via satellite,https://support.apple.com/en-us/120930,2026-05-15,
S3,Apple Support,Roadside Assistance via satellite,https://support.apple.com/en-us/105098,2025-11-04,
S4,Apple Support,"Send your location via satellite (iPhone User Guide, iOS 27)",https://support.apple.com/guide/iphone/send-your-location-via-satellite-iph2aac8ae20/27/ios/27,,
S5,Apple Support,Countries and regions that support Apple Pay,https://support.apple.com/en-us/102775,2026-09-09,
S6,Apple Support,Add money to Apple Cash,https://support.apple.com/en-us/108370,2026-09-14,
S7,Apple Support,Apply for Apple Card,https://support.apple.com/en-us/104952,2026-09-14,
S8,Apple Support,Apple Card Savings eligibility,https://support.apple.com/en-us/102676,2026-09-23,
S9,Apple Support,Add your driver's license or state ID to Wallet,https://support.apple.com/en-us/111803,2026-05-27,
S10,Apple Support,Digital ID in Wallet,https://support.apple.com/en-us/123719,2026-09-14,
S11,Apple Newsroom,Apple brings Tap to Pay on iPhone to eight more European countries,https://www.apple.com/mt/newsroom/2025/05/apple-brings-tap-to-pay-on-iphone-to-eight-more-european-countries/,2025-05-27,
S12,Apple Developer,Tap to Pay on iPhone: countries and payment providers,https://developer.apple.com/tap-to-pay/regions/,,
S13,Apple,watchOS 27 feature availability,https://www.apple.com/watchos/feature-availability/,,
S14,Apple,AirPods Pro Hearing Health feature availability,https://www.apple.com/airpods-pro/feature-availability/,,
S15,Apple Support,Blood Oxygen app on Apple Watch,https://support.apple.com/en-us/120358,2026-09-14,
S16,Apple Support,Ride transit using Apple Pay,https://support.apple.com/en-us/118625,2026-07-29,
S18,Apple,iPhone 18 Pro technical specifications (Denmark),https://www.apple.com/dk/iphone-18-pro/specs/,,
S19,Apple,iPhone 18 Pro technical specifications (US),https://www.apple.com/iphone-18-pro/specs/,,
S20,Apple Newsroom,"Apple Arcade update (Vision Pro country list, footnote 4)",https://www.apple.com/nz/newsroom/2026/08/exciting-updates-for-sneaky-sasquatch-come-to-apple-arcade/,2026-08-28,
S21,Apple,Apple Vision Pro purchase FAQ,https://www.apple.com/shop/buy-vision/apple-vision-pro,,
S22,Apple Support,AppleCare One device and country eligibility,https://support.apple.com/en-us/122224,2026-09-14,
S23,Apple Support,AppleCare One Family,https://support.apple.com/en-us/148275,2026-09-14,
S24,Apple,AppleCare (US),https://www.apple.com/applecare/,,
S25,Apple,AppleCare (Denmark),https://www.apple.com/dk/applecare/,,
S26,Apple Newsroom,Apple Upgrade launches in the United States,https://www.apple.com/newsroom/2026/07/apple-upgrade-launches-in-the-united-states/,2026-07-28,
S29,Apple Support,Charge iPhone with cleaner energy sources (iOS 27 guide),https://support.apple.com/guide/iphone/charge-with-cleaner-energy-sources-iphc49d61e92/27/ios/27,,
S30,Apple Developer,EnergyKit,https://developer.apple.com/energykit/,,
S31,Apple,"iPhone 18 Pro technical specifications (Germany), incl. EU energy-label battery capacity",https://www.apple.com/de/iphone-18-pro/specs/,,
P01,Apple Support,iPhone Mirroring: use your iPhone from your Mac,https://support.apple.com/en-us/120421,2026-09-14,
P02,Apple Support,"Record and transcribe a call (iPhone User Guide, iOS 27)",https://support.apple.com/en-mt/guide/iphone/iph57c6590e9/27/ios/27,,
P03,Apple Support,About alternative app distribution in the European Union,https://support.apple.com/en-us/118110,2026-06-18,
P04,Apple Support,Change your default apps on iPhone,https://support.apple.com/en-us/121430,2025-12-18,
P05,Apple Support,Delete certain built-in apps in the EU or Japan,https://support.apple.com/en-us/121327,2026-01-26,
P06,Apple Developer,Using alternative browser engines in the European Union,https://developer.apple.com/support/alternative-browser-engines/,,
